Galaxy,Type,Distance,L<sub>B</sub>,R<sub>0</sub>,R<sub>last</sub>,M<sub>HI</sub>,M<sub>disk</sub>,(M/L)<sub>stars</sub>,(v<sup>2</sup>/c<sup>2</sup>R)<sub>last</sub>,Data Sources
NGC-0959,LSB,13.5,0.333,1.3,2.9,0.05,0.37,1.11,7.43,[23]-[30]-[31]-[30]
NGC-4395,LSB,4.1,0.374,2.7,0.9,0.13,0.83,2.21,2.29,[29]-[32]-[24]-[32]
NGC-7137,LSB,25,0.959,1.7,3.6,0.1,0.27,0.28,3.91,[23]-[33]-[ES]-[33]
UGC-0128,LSB,64.6,0.597,6.9,54.8,0.73,2.75,4.6,1.03,[34]-[27]-[35]-[35]
UGC-0191,LSB,15.9,0.129,1.7,2.2,0.26,0.49,3.81,15.48,[23]-[36]-[36]-[37]
UGC-0477,LSB,35.8,0.871,3.5,10.2,1.02,1,1.14,4.42,[29]-[30]-[ES]-[30]
UGC-1230,LSB,54.1,0.366,4.7,37.1,0.65,0.67,1.82,0.97,[27]-[27]-[35]-[35]
UGC-1281,LSB,5.1,0.017,1.6,1.7,0.03,0.01,0.53,3.02,[29]-[36]-[24]-[32]
UGC-1551,LSB,35.6,0.78,4.2,6.6,0.44,0.16,0.2,3.69,[23]-[38]-[39]-[38]
UGC-4325,LSB,11.9,0.373,1.9,3.4,0.1,0.4,1.08,7.39,[23]-[32]-[24]-[32]
UGC-5005,LSB,51.4,0.2,4.6,27.7,0.28,1.02,5.11,1.3,[27]-[27]-[35]-[35]
UGC-5750,LSB,56.1,0.472,3.3,8.6,0.1,0.1,0.21,1.58,[29]-[27]-[35]-[35]
UGC-5999,LSB,44.9,0.17,4.4,15,0.18,3.36,19.81,5.79,[27]-[27]-[35]-[35]
UGC-11820,LSB,17.1,0.169,3.6,3.7,0.4,1.68,9.95,8.44,[23]-[37]-[40]-[37]
ESO-0140040,LSB,217.8,7.169,10.1,30,NA,20.7,3.38,8.29,[26]-[41]-[42]-[NA]
ESO-0840411,LSB,82.4,0.287,3.5,9.1,NA,0.06,0.21,1.49,[26]-[41]-[ES]-[NA]
ESO-1200211,LSB,15.2,0.028,2,3.5,NA,0.01,0.2,0.66,[26]-[41]-[ES]-[NA]
ESO-1870510,LSB,16.8,0.054,2.1,2.8,NA,0.09,1.62,2.02,[26]-[41]-[43]-[NA]
ESO-2060140,LSB,59.6,0.735,5.1,11.6,NA,3.51,4.78,4.34,[26]-[41]-[42]-[NA]
ESO-3020120,LSB,70.9,0.717,3.4,11.2,NA,0.77,1.07,2.37,[26]-[41]-[ES]-[NA]
ESO-3050090,LSB,13.2,0.186,1.3,5.6,NA,0.06,0.32,1.87,[26]-[41]-[ES]-[NA]
ESO-4250180,LSB,88.3,2.6,7.3,14.6,NA,4.79,1.84,5.17,[26]-[41]-[42]-[NA]
ESO-4880490,LSB,28.7,0.139,1.6,7.8,NA,0.43,3.07,4.34,[26]-[41]-[ES]-[NA]
F571-8,LSB,50.3,0.191,5.4,14.6,0.16,4.48,23.49,5.1,[26]-[28]-[27]-[28]
F579-V1,LSB,86.9,0.557,5.2,14.7,0.21,3.33,5.98,3.18,[26]-[28]-[27]-[28]
F730-V1,LSB,148.3,0.756,5.8,12.2,NA,5.95,7.87,6.22,[26]-[40]-[40]-[NA]
UGC-04115,LSB,5.5,0.004,0.3,1.7,NA,0.01,0.97,3.42,[26]-[41]-[44]-[NA]
UGC-06614,LSB,86.2,2.109,8.2,62.7,2.07,9.7,4.6,2.39,[26]-[41]-[35]-[35]
UGC-11454,LSB,93.9,0.456,3.4,12.3,NA,3.15,6.9,6.79,[26]-[41]-[40]-[NA]
UGC-11557,LSB,23.7,1.806,3,6.7,0.25,0.37,0.2,3.49,[26]-[41]-[32]-[32]
UGC-11583,LSB,7.1,0.012,0.7,2.1,NA,0.01,0.96,2.15,[26]-[41]-[40]-[NA]
UGC-11616,LSB,74.9,2.159,3.1,9.8,NA,2.43,1.13,7.49,[26]-[41]-[40]-[NA]
UGC-11648,LSB,49,4.073,4,13,NA,2.57,0.63,5.79,[26]-[41]-[40]-[NA]
UGC-11748,LSB,75.3,23.93,2.6,21.6,NA,9.67,0.4,1.01,[26]-[41]-[40]-[NA]
UGC-11819,LSB,61.5,2.155,4.7,11.9,NA,4.83,2.24,7.03,[26]-[41]-[40]-[NA]
DDO-0168,LSB,4.5,0.032,1.2,4.4,0.03,0.06,2.03,2.22,[45]-[45]-[45]-[45]
DDO-0170,LSB,16.6,0.023,1.9,13.3,0.09,0.05,1.97,1.18,[46]-[46]-[46]-[46]
M-0033,HSB,0.9,0.85,2.5,8.9,0.11,1.13,1.33,4.62,[47]-[47]-[48]-[47]
NGC-0055,LSB,1.9,0.588,1.9,12.2,0.13,0.3,0.5,2.22,[49]-[49]-[49]-[49]
NGC-0247,LSB,3.6,0.512,4.2,14.3,0.16,1.25,2.43,2.94,[50]-[51]-[51]-[50]
NGC-0300,LSB,2,0.271,2.1,11.7,0.08,0.65,2.41,2.69,[52]-[51]-[51]-[52]
NGC-0801,HSB,63,4.746,9.5,46.7,1.39,6.93,2.37,3.59,[45]-[45]-[53]-[45]
NGC-1003,LSB,11.8,1.48,1.9,31.2,0.63,0.66,0.45,1.53,[47]-[47]-[54]-[55]
NGC-1560,LSB,3.7,0.053,1.6,10.3,0.12,0.17,3.16,2.16,[45]-[45]-[45]-[45]
NGC-2683,HSB,10.2,1.882,2.4,36,0.15,6.03,3.2,2.28,[56]-[56]-[57]-[55]
NGC-2998,HSB,59.3,5.186,4.8,41.1,1.78,7.16,1.75,3.43,[45]-[45]-[53]-[45]
NGC-3109,LSB,1.5,0.064,1.3,7.1,0.06,0.02,0.35,2.29,[58]-[59]-[59]-[58]
NGC-5033,HSB,15.3,3.058,7.5,45.6,1.07,0.27,3.28,3.16,[15]-[15]-[14]-[15]
NGC-5371,HSB,35.3,7.593,4.4,41,0.89,8.52,1.44,3.98,[15]-[15]-[14]-[15]
NGC-5533,HSB,42,3.173,7.4,56,1.39,2,4.14,3.31,[45]-[45]-[57]-[45]
NGC-5585,HSB,9,0.333,2,14,0.28,0.36,1.09,2.06,[60]-[60]-[60]-[60]
NGC-5907,HSB,16.5,5.4,5.5,48,1.9,2.49,1.89,3.44,[61]-[55]-[61]-[55]
NGC-6503,HSB,5.5,0.417,1.6,20.7,0.14,1.53,3.66,2.3,[15]-[15]-[14]-[15]
NGC-6674,HSB,42,4.935,7.1,59.1,2.18,2,2.52,3.57,[45]-[45]-[54]-[45]
UGC-2259,LSB,10,0.11,1.4,7.8,0.04,0.47,4.23,3.76,[62]-[62]-[63]-[62]
UGC-2885,HSB,80.4,23.955,13.3,74.1,3.98,8.47,0.72,4.31,[64]-[53]-[53]-[55]
Malin-1,LSB,338.5,7.912,84.2,98,5.4,1,1.32,1.77,[65]-[65]-[66]-[65]
